lig1,lig2,Label,Label1,Label2,dir_1,dir_2,pred_delta_pIC50
beta1_epi,beta2_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta1_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta2_epi/epinephrine.pkl,0.6947222948074341
beta1_epi,beta3_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta1_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta3_epi/epinephrine.pkl,1.1030981540679932
beta1_epi,alpha2A_epi_docked,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta1_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/epinephrine.pkl,0.0870734304189682
beta1_epi,alpha2A_norepi_docked,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta1_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/norepinephrine.pkl,1.3821964263916016
beta1_norepi,alpha1A_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta1_norepi/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_epi/epinephrine.pkl,-0.2144617438316345
beta1_norepi,alpha1A_norepi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta1_norepi/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_norepi/norepinephrine.pkl,0.5276854038238525
beta1_norepi,alpha2A_norepi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta1_norepi/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_norepi/norepinephrine.pkl,0.7883062958717346
beta1_norepi,beta1_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta1_norepi/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta1_epi/epinephrine.pkl,-1.7070999145507812
beta1_norepi,beta1_norepi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta1_norepi/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta1_norepi/norepinephrine.pkl,-0.0797319114208221
beta1_norepi,beta2_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta1_norepi/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta2_epi/epinephrine.pkl,-0.9126033186912536
beta1_norepi,beta3_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta1_norepi/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta3_epi/epinephrine.pkl,0.1343889385461807
beta1_norepi,alpha2A_epi_docked,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta1_norepi/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/epinephrine.pkl,-0.4460504651069641
beta1_norepi,alpha2A_norepi_docked,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta1_norepi/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/norepinephrine.pkl,0.77178955078125
beta2_epi,alpha1A_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta2_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_epi/epinephrine.pkl,0.6994961500167847
beta2_epi,alpha1A_norepi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta2_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_norepi/norepinephrine.pkl,1.1075398921966553
beta2_epi,alpha2A_norepi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta2_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_norepi/norepinephrine.pkl,1.4127466678619385
beta2_epi,beta1_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta2_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta1_epi/epinephrine.pkl,-0.5593547821044922
beta2_epi,beta1_norepi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta2_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta1_norepi/norepinephrine.pkl,0.9772851467132568
beta2_epi,beta2_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta2_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta2_epi/epinephrine.pkl,-0.0797319114208221
beta2_epi,beta3_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta2_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta3_epi/epinephrine.pkl,1.0055263042449951
beta2_epi,alpha2A_epi_docked,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta2_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/epinephrine.pkl,-0.0661946162581443
beta2_epi,alpha2A_norepi_docked,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta2_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/norepinephrine.pkl,1.388054609298706
beta3_epi,alpha1A_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta3_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_epi/epinephrine.pkl,-0.1940825879573822
beta3_epi,alpha1A_norepi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta3_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_norepi/norepinephrine.pkl,0.5875170230865479
beta3_epi,alpha2A_norepi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta3_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_norepi/norepinephrine.pkl,0.9337449073791504
beta3_epi,beta1_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta3_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta1_epi/epinephrine.pkl,-0.9232160449028016
beta3_epi,beta1_norepi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta3_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta1_norepi/norepinephrine.pkl,0.030084952712059
beta3_epi,beta2_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta3_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta2_epi/epinephrine.pkl,-0.8437036871910095
beta3_epi,beta3_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta3_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta3_epi/epinephrine.pkl,-0.0797437503933906
beta3_epi,alpha2A_epi_docked,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta3_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/epinephrine.pkl,-0.4143382906913757
beta3_epi,alpha2A_norepi_docked,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta3_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/norepinephrine.pkl,0.912922978401184
